End Date,USD/CAD
2015/6/11,1.229
2015/6/10,1.2287
2015/6/9,1.23752
2015/6/8,1.24383
2015/6/7,1.24292
2015/6/6,1.24292
2015/6/5,1.24924
2015/6/4,1.24654
2015/6/3,1.24273
2015/6/2,1.2483
2015/6/1,1.24878
2015/5/31,1.24477
2015/5/30,1.24477
2015/5/29,1.24418
2015/5/28,1.24646
2015/5/27,1.2443
2015/5/26,1.23623
2015/5/25,1.22953
2015/5/24,1.22749
2015/5/23,1.22749
2015/5/22,1.22261
2015/5/21,1.22001
2015/5/20,1.22211
2015/5/19,1.21821
2015/5/18,1.2072
2015/5/17,1.20112
2015/5/16,1.20112
2015/5/15,1.20076
2015/5/14,1.19565
2015/5/13,1.19854
2015/5/12,1.20548
2015/5/11,1.21057
2015/5/10,1.20721
2015/5/9,1.20721
2015/5/8,1.21014
2015/5/7,1.20807
2015/5/6,1.20362
2015/5/5,1.20845
2015/5/4,1.21382
2015/5/3,1.21548
2015/5/2,1.21548
2015/5/1,1.2114
2015/4/30,1.20462
2015/4/29,1.20203
2015/4/28,1.20722
2015/4/27,1.2145
2015/4/26,1.21762
2015/4/25,1.21762
2015/4/24,1.21474
2015/4/23,1.22164
2015/4/22,1.22496
2015/4/21,1.22564
2015/4/20,1.22122
2015/4/19,1.22386
2015/4/18,1.22386
2015/4/17,1.21927
2015/4/16,1.22583
2015/4/15,1.24587
2015/4/14,1.25505
2015/4/13,1.26026
2015/4/12,1.25653
2015/4/11,1.25653
2015/4/10,1.25944
2015/4/9,1.25613
2015/4/8,1.24846
2015/4/7,1.24825
2015/4/6,1.24681
2015/4/5,1.24794
2015/4/4,1.24794
2015/4/3,1.25274
2015/4/2,1.26006
2015/4/1,1.26538
2015/3/31,1.26994
2015/3/30,1.26417
2015/3/29,1.26112
2015/3/28,1.26112
2015/3/27,1.25162
2015/3/26,1.24745
2015/3/25,1.25043
2015/3/24,1.25077
2015/3/23,1.25543
2015/3/22,1.25491
2015/3/21,1.25491
2015/3/20,1.26553
2015/3/19,1.26504
2015/3/18,1.27666
2015/3/17,1.27752
2015/3/16,1.27829
2015/3/15,1.27766
2015/3/14,1.27766
2015/3/13,1.27376
2015/3/12,1.271
2015/3/11,1.27059
2015/3/10,1.26402
2015/3/9,1.26005
2015/3/8,1.26207
2015/3/7,1.26204
2015/3/6,1.2518
2015/3/5,1.24462
2015/3/4,1.24838
2015/3/3,1.25038
2015/3/2,1.25129
2015/3/1,1.24964
2015/2/28,1.24963
2015/2/27,1.24947
2015/2/26,1.24511
2015/2/25,1.24497
2015/2/24,1.25928
2015/2/23,1.25671
2015/2/22,1.25304
2015/2/21,1.25305
2015/2/20,1.249
2015/2/19,1.24753
2015/2/18,1.24142
2015/2/17,1.24232
2015/2/16,1.24474
2015/2/15,1.24446
2015/2/14,1.24452
2015/2/13,1.24932
2015/2/12,1.2571
2015/2/11,1.26078
2015/2/10,1.2494
2015/2/9,1.24928
2015/2/8,1.25166
2015/2/7,1.25167
2015/2/6,1.24594
2015/2/5,1.25155
2015/2/4,1.24619
2015/2/3,1.25453
2015/2/2,1.26811
2015/2/1,1.27227
2015/1/31,1.2722
2015/1/30,1.26605
2015/1/29,1.25516
2015/1/28,1.24344
2015/1/27,1.24547
2015/1/26,1.24448
2015/1/25,1.24132
2015/1/24,1.24139
2015/1/23,1.2399
2015/1/22,1.23541
2015/1/21,1.21532
2015/1/20,1.20023
2015/1/19,1.19662
2015/1/18,1.19774
2015/1/17,1.19774
2015/1/16,1.19789
2015/1/15,1.19434
2015/1/14,1.19674
2015/1/13,1.19614
2015/1/12,1.18827
2015/1/11,1.18585
2015/1/10,1.18589
2015/1/9,1.18374
2015/1/8,1.18205
2015/1/7,1.18376
2015/1/6,1.17698
2015/1/5,1.17875
2015/1/4,1.17795
2015/1/3,1.1779
2015/1/2,1.16687
2015/1/1,1.16131
2014/12/31,1.15986
2014/12/30,1.16266
2014/12/29,1.16264
2014/12/28,1.16212
2014/12/27,1.16212
2014/12/26,1.16151
2014/12/25,1.16288
2014/12/24,1.16171
2014/12/23,1.16241
2014/12/22,1.16113
2014/12/21,1.16012
2014/12/20,1.16013
2014/12/19,1.15926
2014/12/18,1.16177
2014/12/17,1.16353
2014/12/16,1.16425
2014/12/15,1.15874
2014/12/14,1.15758
2014/12/13,1.15755
2014/12/12,1.15466
2014/12/11,1.1487
2014/12/10,1.14577
2014/12/9,1.14653
2014/12/8,1.14469
2014/12/7,1.14283
2014/12/6,1.14285
2014/12/5,1.14055
2014/12/4,1.13672
2014/12/3,1.13854
2014/12/2,1.13538
2014/12/1,1.14025
2014/11/30,1.14105
2014/11/29,1.14112
2014/11/28,1.13769
2014/11/27,1.12754
2014/11/26,1.12568
2014/11/25,1.1279
2014/11/24,1.12474
2014/11/23,1.12286
2014/11/22,1.12288
2014/11/21,1.12803
2014/11/20,1.13323
2014/11/19,1.13308
2014/11/18,1.12894
2014/11/17,1.12955
2014/11/16,1.12871
2014/11/15,1.1287
2014/11/14,1.13548
2014/11/13,1.13268
2014/11/12,1.13235
2014/11/11,1.13688
2014/11/10,1.13276
2014/11/9,1.13249
2014/11/8,1.13252
2014/11/7,1.14057
2014/11/6,1.14048
2014/11/5,1.14137
2014/11/4,1.13752
2014/11/3,1.12973
2014/11/2,1.12632
2014/11/1,1.12632
2014/10/31,1.12263
2014/10/30,1.11926
2014/10/29,1.11613
2014/10/28,1.12198
2014/10/27,1.12318
2014/10/26,1.12329
2014/10/25,1.12329
2014/10/24,1.12211
2014/10/23,1.12427
2014/10/22,1.12269
2014/10/21,1.12534
2014/10/20,1.12727
2014/10/19,1.1273
2014/10/18,1.1273
2014/10/17,1.125
2014/10/16,1.12768
2014/10/15,1.13191
2014/10/14,1.12313
2014/10/13,1.11996
2014/10/12,1.11917
2014/10/11,1.11917
2014/10/10,1.11936
2014/10/9,1.1116
2014/10/8,1.11678
2014/10/7,1.1164
2014/10/6,1.12155
2014/10/5,1.12404
2014/10/4,1.12404
2014/10/3,1.11989
2014/10/2,1.11315
2014/10/1,1.11969
2014/9/30,1.11697
2014/9/29,1.11564
2014/9/28,1.11528
2014/9/27,1.11528
2014/9/26,1.11246
2014/9/25,1.10921
2014/9/24,1.10759
2014/9/23,1.10366
2014/9/22,1.09791
2014/9/21,1.0959
2014/9/20,1.0959
2014/9/19,1.09514
2014/9/18,1.09842
2014/9/17,1.09665
2014/9/16,1.10325
2014/9/15,1.1077
2014/9/14,1.10872
2014/9/13,1.10872
2014/9/12,1.10581
2014/9/11,1.09867
2014/9/10,1.09726
2014/9/9,1.09912
2014/9/8,1.09106
2014/9/7,1.08787
2014/9/6,1.08787
2014/9/5,1.08811
2014/9/4,1.08809
2014/9/3,1.09092
2014/9/2,1.09023
2014/9/1,1.08666
2014/8/31,1.08759
2014/8/30,1.08729
2014/8/29,1.08555
2014/8/28,1.08531
2014/8/27,1.09052
2014/8/26,1.09677
2014/8/25,1.09619
2014/8/24,1.09368
2014/8/23,1.09368
2014/8/22,1.09437
2014/8/21,1.09643
2014/8/20,1.0948
2014/8/19,1.09077
2014/8/18,1.08854
2014/8/17,1.08944
2014/8/16,1.08944
2014/8/15,1.0896
2014/8/14,1.09079
2014/8/13,1.09217
2014/8/12,1.09356
2014/8/11,1.09577
2014/8/10,1.09707
2014/8/9,1.09691
2014/8/8,1.09442
2014/8/7,1.09209
2014/8/6,1.09526
2014/8/5,1.09316
2014/8/4,1.09196
2014/8/3,1.09129
2014/8/2,1.09129
2014/8/1,1.09164
2014/7/31,1.09035
2014/7/30,1.08719
2014/7/29,1.08186
2014/7/28,1.08082
2014/7/27,1.08067
2014/7/26,1.08067
2014/7/25,1.07659
2014/7/24,1.07345
2014/7/23,1.07305
2014/7/22,1.07401
2014/7/21,1.07379
2014/7/20,1.07322
2014/7/19,1.0732
2014/7/18,1.07455
2014/7/17,1.0742
2014/7/16,1.07579
2014/7/15,1.07341
2014/7/14,1.07299
2014/7/13,1.07307
2014/7/12,1.07307
2014/7/11,1.06686
2014/7/10,1.06566
2014/7/9,1.06682
2014/7/8,1.068
2014/7/7,1.06573
2014/7/6,1.06493
2014/7/5,1.06495
2014/7/4,1.06397
2014/7/3,1.06557
2014/7/2,1.06443
2014/7/1,1.06605
2014/6/30,1.06725
2014/6/29,1.06615
2014/6/28,1.06615
2014/6/27,1.06818
2014/6/26,1.071
2014/6/25,1.07367
2014/6/24,1.07293
2014/6/23,1.0735
2014/6/22,1.07544
2014/6/21,1.07544
2014/6/20,1.07969
2014/6/19,1.0825
2014/6/18,1.0864
2014/6/17,1.08557
2014/6/16,1.08561
2014/6/15,1.08547
2014/6/14,1.08547
2014/6/13,1.08569
2014/6/12,1.08589
2014/6/11,1.08866
2014/6/10,1.09061
2014/6/9,1.09215
2014/6/8,1.09268
2014/6/7,1.09268
2014/6/6,1.0925
2014/6/5,1.09388
2014/6/4,1.093
2014/6/3,1.09052
2014/6/2,1.08679
2014/6/1,1.08416
2014/5/31,1.08416
2014/5/30,1.08387
2014/5/29,1.08566
2014/5/28,1.08605
2014/5/27,1.08511
2014/5/26,1.08623
2014/5/25,1.08629
2014/5/24,1.08629
2014/5/23,1.08875
2014/5/22,1.09064
2014/5/21,1.09128
2014/5/20,1.08858
2014/5/19,1.08614
2014/5/18,1.08569
2014/5/17,1.08569
2014/5/16,1.08743
2014/5/15,1.08764
2014/5/14,1.08988
2014/5/13,1.09025
2014/5/12,1.08928
2014/5/11,1.08944
2014/5/10,1.08944
2014/5/9,1.08518
2014/5/8,1.0874
2014/5/7,1.08896
2014/5/6,1.09283
2014/5/5,1.09681
2014/5/4,1.09727
2014/5/3,1.09727
2014/5/2,1.09676
2014/5/1,1.09691
2014/4/30,1.09559
2014/4/29,1.09923
2014/4/28,1.10285
2014/4/27,1.10374
2014/4/26,1.10374
2014/4/25,1.1028
2014/4/24,1.10277
2014/4/23,1.10324
2014/4/22,1.10191
2014/4/21,1.10197
2014/4/20,1.10192
2014/4/19,1.10192
2014/4/18,1.10103
2014/4/17,1.10044
2014/4/16,1.09919
2014/4/15,1.0981
2014/4/14,1.09725
2014/4/13,1.09748
2014/4/12,1.09748
2014/4/11,1.0946
2014/4/10,1.08971
2014/4/9,1.09147
2014/4/8,1.09461
2014/4/7,1.09785
2014/4/6,1.09783
2014/4/5,1.09783
2014/4/4,1.10107
2014/4/3,1.10262
2014/4/2,1.10273
2014/4/1,1.10468
2014/3/31,1.10476
2014/3/30,1.10581
2014/3/29,1.10581
2014/3/28,1.10306
2014/3/27,1.10794
2014/3/26,1.11449
2014/3/25,1.11871
2014/3/24,1.12214
2014/3/23,1.12221
2014/3/22,1.12221
2014/3/21,1.12294
2014/3/20,1.12488
2014/3/19,1.11605
2014/3/18,1.10678
2014/3/17,1.10756
2014/3/16,1.10959
2014/3/15,1.10959
2014/3/14,1.10872
2014/3/13,1.10812
2014/3/12,1.11164
2014/3/11,1.11093
2014/3/10,1.11065
2014/3/9,1.10813
2014/3/8,1.10815
2014/3/7,1.10218
2014/3/6,1.10169
2014/3/5,1.10746
2014/3/4,1.10867
2014/3/3,1.10725
2014/3/2,1.1059
2014/3/1,1.10591
2014/2/28,1.11084
2014/2/27,1.11332
2014/2/26,1.10946
2014/2/25,1.10702
2014/2/24,1.11003
2014/2/23,1.11041
2014/2/22,1.1105
2014/2/21,1.11311
2014/2/20,1.10817
2014/2/19,1.09729
2014/2/18,1.09572
2014/2/17,1.09668
2014/2/16,1.09744
2014/2/15,1.09748
2014/2/14,1.09652
2014/2/13,1.09941
2014/2/12,1.09968
2014/2/11,1.10556
2014/2/10,1.1037
2014/2/9,1.10276
2014/2/8,1.10281
2014/2/7,1.10529
2014/2/6,1.1069
2014/2/5,1.10793
2014/2/4,1.10878
2014/2/3,1.1096
2014/2/2,1.1121
2014/2/1,1.11213
2014/1/31,1.11665
2014/1/30,1.11773
2014/1/29,1.11484
2014/1/28,1.11228
2014/1/27,1.10666
2014/1/26,1.10824
2014/1/25,1.10819
